Title;Year;Classification;Duration;Genre;Directors;Writers;Cast;TechCrew
Os Olhos da Ásia;1996;M/14;86 min;['Drama', 'História'];['João Mário Grilo'];['João Mário Grilo', 'Paulo Filipe Monteiro'];"['António Cordeiro', 'Carlos de Medeiros', 'Diego Yuuki', 'Edward Ishita', 'Georges Le Calvé', 'Geraldine Chaplin', 'Itaru Takahara', 'João Perry', 'José Abreu', 'José Eduardo', 'Kyioto Harada', ""Marques d'Arede"", 'Rui Gomes', 'Takeshi Ohbaiashi', 'Yasukiyo Umeno', 'Yoshi Oida', 'Yuzi Kosugi']";{'Assistente de Decoração': [['Kinya Ushida', 'Clara Vinhais', 'Tiago Oliveira']], 'Assistente de Imagem': [['João Natividade', 'João Guerra', 'Miguel Robalo']], 'Assistente de Montagem': [['Carla Bogalheiro']], 'Assistente de Produção': [['João da Ponte', 'Graciette Trindade', 'Marco Martins', 'João Pedro Mamede']], 'Assistente de Realização': [['Francisco Villa-Lobos', 'Masayuki Taniguchi', 'Luís Fonseca']], 'Caracterização': [['Heike Giessmann']], 'Carpinteiro': [['Sílvio Correia']], 'Cenários': [['Fernando Areal']], 'Chefe Electricista': [['Vítor Miranda']], 'Chefe Maquinista': [['Paulo Miranda']], 'Consultor': [['Masayuki Taniguchi']], 'Contabilidade': [['Fernanda Costa']], 'Decoração': [['Georges Le Calvé']], 'Diálogos': [['João Mário Grilo', 'Paulo Filipe Monteiro']], 'Direcção de Fotografia': [['João Paulo Costa']], 'Direcção de Montagem': [['Christian Dior']], 'Direcção de Produção': [['Isamu Izumi', 'João Pedro Bénard da Costa']], 'Direcção de Som': [['Michel Vionnet']], 'Efeitos Especiais': [['Molina', 'Jaime Brito']], 'Electricista': [['João Santos', 'Carlos Antunes', 'A. Cunha']], 'Etalonagem': [['Dora Rolim']], 'Grua': [['Américo Pinto']], 'Grupista': [['Herculano Cunha']], 'Guarda-Roupa': [['Georges Le Calvé']], 'Maquinista': [['Alberico Santos']], 'Mistura de Som': [['Hartmut Eichgrün']], 'Montagem': [['Christian Dior']], 'Música': [['Jorge Arriagada']], 'Operador de Som': [['Francisco Veloso']], 'Produção': [['Madragoa Filmes', 'The Innocent Film', 'Gemini Films', 'Film Crescent', 'RTP', 'Chris Sievernich']], 'Produção Associada': [['Toru Aisawa', 'Henrique Espírito Santo']], 'Produção Executiva': [['Paulo Branco']], 'Secretária de Produção': [['Margarida Costa']], 'Som': [['Francisco Veloso']], 'Vestuário': [['Georges Le Calvé']]}
Os Olhos da Alma;1924;;67 min;['Drama'];['Roger Lion'];[];['Alda Rodrigues', 'Álvaro de Albuquerque', 'Álvaro Lyra', 'Álvaro May', 'António Duarte', 'Arthur Duarte', 'Branca de Oliveira', 'Carlos Cooper', 'Charles Maxudian', 'Delmiro Rego', 'Eduardo Brasão', 'Emília de Oliveira', 'Francisco Lyra', 'Francisco Sena', 'Galiana Murraças', 'Garcia Ruas', 'Gil Clary', 'Jean Murat', 'João Lopes (I)', 'Leopoldo Santos', 'Maria Emília Castelo Branco', 'Mme Bensaúde', 'Nestor Lopes', 'Octávia Navarro', 'Teresa Taveira', 'Tomé da Veiga'];{'Assistente de Decoração': [['Álvaro May']], 'Autor da Obra Original': [['Virgínia de Castro e Almeida']], 'Decoração': [['Rui Teixeira Bastos']], 'Distribuição': [['Companhia Cinematográfica de Portugal']], 'Fotografia': [['Daniel Quintin', 'Charles Mallet', 'Marcel Bizot']], 'Montagem': [['Ayres d’Aguiar']], 'Patrocínio': [['E. Bensaúde']], 'Produção': [['Fortuna Films']], 'Produção Executiva': [['José de Castro e Almeida']], 'Produtor': [['Virgínia de Castro e Almeida']], 'Secretariado de Produção': [['António Fonseca']]}
Olhos Claros;1995;;30 min;['Curta-metragem'];['Cláudia Tomaz'];[];[];{}
Oleiros de Redondo;1964;;;['Documentário'];['Maria Luísa de Bívar'];[];[];{}
Oleaginosas;1975;;10 min;['Documentário'];[];[];[];{}
Oleados Pintados;1963;;;['Documentário'];['Maria Luísa de Bívar'];[];[];{}
Olaria Popular de Niza;1962;;;['Documentário'];['Maria Luísa de Bívar'];[];[];{}
Oh Que Calma;1986;;;['Animação', 'Curta-metragem'];['Abi Feijó'];[];[];{'Produção': [['Abi Feijó']]}
Ofensiva Popular;1975;;25 min;['Curta-metragem'];['António Faria'];[];[];{'Direcção de Fotografia': [['Guilhermo Santoro']], 'Produção': [['António Faria']]}
Odivelas;1936;;;['Documentário'];[];[];[];{}
